                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92491,                 3.4059,                 1.2406,                 0.0165,                      1,                0.45598,                 0.3628,                0.67945,                 3.5451,                 1.0964,                  5e-05,                  5e-05,                  5e-05
                      2,                0.85217,                 3.1916,                 1.1891,                0.02313,                      1,                0.54911,                0.45546,                0.63159,                 3.4784,                 1.0704,             0.00010864,             0.00010864,             0.00010864
                      3,                0.84126,                 2.7679,                 1.1637,                 0.0252,                      1,                0.58937,                0.51574,                0.65187,                 3.3534,                 1.1326,             0.00016579,             0.00016579,             0.00016579
                      4,                0.85316,                 2.4124,                 1.1636,                0.02295,                      1,                0.82861,                0.70469,                 0.6632,                 3.1459,                 1.1419,             0.00022146,             0.00022146,             0.00022146
                      5,                0.81606,                  2.157,                 1.1276,                0.74906,                0.47397,                0.79232,                0.63357,                0.72732,                 2.9701,                 1.1457,             0.00027565,             0.00027565,             0.00027565
                      6,                0.83707,                 1.9097,                 1.1579,                      1,                 0.2205,                0.82411,                0.65274,                0.98641,                 2.9183,                 1.4157,             0.00032834,             0.00032834,             0.00032834
                      7,                0.82477,                 1.6857,                  1.192,                0.76531,                0.56225,                0.79792,                0.54597,                0.93245,                 2.5669,                 1.5289,             0.00037956,             0.00037956,             0.00037956
                      8,                0.82448,                 1.6567,                 1.1577,                0.73544,                0.53952,                0.77793,                0.40463,                 1.2137,                 2.7171,                 1.5808,             0.00042929,             0.00042929,             0.00042929
                      9,                0.85035,                 1.5408,                 1.1387,                0.68949,                0.67934,                0.83062,                 0.5544,                 1.0211,                 2.1816,                 1.3305,             0.00047753,             0.00047753,             0.00047753
                     10,                0.80898,                 1.4016,                 1.1359,                0.87812,                0.73693,                0.93285,                0.73201,                 1.0114,                 1.8543,                 1.3526,             0.00052429,             0.00052429,             0.00052429
                     11,                0.80658,                 1.2752,                 1.1501,                0.85543,                0.85532,                0.93282,                0.70463,                0.97286,                 1.9259,                  1.341,             0.00056956,             0.00056956,             0.00056956
                     12,                0.81942,                 1.2739,                 1.1368,                0.76057,                0.90978,                  0.995,                0.73315,                0.96879,                 1.8064,                 1.3933,             0.00061335,             0.00061335,             0.00061335
                     13,                0.82506,                 1.1844,                 1.1369,                0.90134,                0.98147,                  0.995,                0.80264,                0.82108,                  1.472,                 1.3723,             0.00065565,             0.00065565,             0.00065565
                     14,                0.79223,                 1.1339,                 1.0793,                 0.8957,                0.97349,                  0.995,                0.78266,                0.83936,                 1.4564,                  1.345,             0.00069647,             0.00069647,             0.00069647
                     15,                0.80658,                 1.1311,                 1.1126,                0.95328,                 0.9375,                 0.9825,                0.77638,                0.86529,                 1.5009,                 1.3836,             0.00073581,             0.00073581,             0.00073581
                     16,                0.78781,                 1.0542,                 1.0895,                 0.9666,                0.92913,                0.98929,                0.71863,                0.92562,                 1.9915,                 1.2821,             0.00077366,             0.00077366,             0.00077366
                     17,                 0.7731,                 1.0564,                 1.0893,                0.94254,                 0.8562,                0.93291,                0.62316,                 1.0345,                 2.1973,                 1.5385,               0.000802,               0.000802,               0.000802
                     18,                0.76381,                0.98021,                 1.0768,                0.96666,                0.91667,                0.94122,                0.68643,                0.99943,                 2.3626,                 1.4789,             0.00078963,             0.00078963,             0.00078963
                     19,                0.74156,                0.99053,                 1.0569,                0.88374,                0.85364,                0.88339,                 0.6623,                0.95397,                 2.1289,                 1.3884,             0.00077725,             0.00077725,             0.00077725
                     20,                0.75225,                0.96825,                 1.0743,                0.94661,                0.99334,                  0.995,                0.71566,                0.94111,                 1.4754,                 1.5087,             0.00076488,             0.00076488,             0.00076488
                     21,                0.74734,                0.94224,                 1.0959,                0.95459,                0.94003,                  0.995,                0.76125,                0.89452,                 1.3136,                 1.4736,              0.0007525,              0.0007525,              0.0007525
                     22,                0.74907,                0.94791,                 1.0998,                0.95803,                0.91811,                0.93475,                0.70947,                0.98768,                 1.1808,                 1.5744,             0.00074013,             0.00074013,             0.00074013
                     23,                0.76015,                0.91635,                 1.0617,                0.94777,                0.91804,                  0.995,                0.76935,                 0.8573,                  1.318,                 1.5138,             0.00072775,             0.00072775,             0.00072775
                     24,                0.72021,                0.85738,                 1.0413,                0.96482,                0.92465,                  0.995,                0.76901,                 1.0118,                 1.2365,                 1.5053,             0.00071537,             0.00071537,             0.00071537
                     25,                  0.757,                0.86514,                 1.0608,                0.96356,                0.92455,                  0.995,                0.74887,                 1.0014,                  1.216,                 1.4347,               0.000703,               0.000703,               0.000703
                     26,                0.71774,                0.88216,                 1.0664,                 0.9476,                0.91878,                  0.995,                0.79684,                0.84328,                 1.3584,                 1.3467,             0.00069063,             0.00069063,             0.00069063
                     27,                0.78356,                0.88908,                 1.0716,                0.90394,                0.89899,                0.98321,                 0.7816,                0.83602,                 1.5593,                 1.3292,             0.00067825,             0.00067825,             0.00067825
                     28,                0.72303,                0.91193,                 1.0496,                0.89906,                0.88238,                0.95179,                0.81402,                0.78911,                 1.5635,                 1.3305,             0.00066588,             0.00066588,             0.00066588
                     29,                0.70852,                0.87939,                 1.0546,                0.90911,                0.96122,                  0.995,                0.81713,                0.74758,                 1.3212,                 1.2631,              0.0006535,              0.0006535,              0.0006535
                     30,                0.71229,                0.83152,                 1.0394,                0.97491,                0.97738,                  0.995,                 0.7333,                0.89767,                 1.2315,                  1.365,             0.00064112,             0.00064112,             0.00064112
