Order_ID,Product_ID,Quantity,Sales
CA-2011-130813,OFF-PA-10002005,3,19
CA-2011-148614,OFF-PA-10002893,2,19
CA-2011-118962,OFF-PA-10000659,3,21
CA-2011-118962,OFF-PA-10001144,2,111
CA-2011-146969,OFF-PA-10002105,1,6
CA-2011-117317,OFF-PA-10004519,3,13
CA-2011-125829,OFF-PA-10000223,3,19
CA-2011-151295,OFF-PA-10001947,2,12
CA-2011-135090,OFF-PA-10002245,9,54
CA-2011-133830,OFF-PA-10001363,4,49
CA-2011-113579,OFF-PA-10001457,6,90
CA-2012-116092,OFF-PA-10004285,2,13
CA-2012-116092,OFF-PA-10000477,3,19
CA-2012-121776,OFF-PA-10001970,3,37
CA-2012-131534,OFF-PA-10000743,5,33
US-2012-136987,OFF-PA-10003127,2,53
CA-2012-121965,OFF-PA-10004355,1,6
CA-2012-112319,OFF-PA-10003441,9,58
CA-2012-137708,OFF-PA-10000176,2,38
CA-2012-137708,OFF-PA-10000327,10,43
CA-2012-105347,OFF-PA-10000675,9,369
CA-2012-153416,OFF-PA-10002005,3,19
CA-2012-135545,OFF-PA-10003892,3,147
CA-2012-158918,OFF-PA-10004947,4,17
CA-2012-135580,OFF-PA-10000595,3,69
US-2013-119270,OFF-PA-10004022,2,20
CA-2013-131380,OFF-PA-10001243,1,6
CA-2013-130477,OFF-PA-10002947,3,20
CA-2013-130477,OFF-PA-10000019,2,13
CA-2013-163594,OFF-PA-10000809,3,19
US-2013-115819,OFF-PA-10002377,4,23
CA-2013-111696,OFF-PA-10002751,3,18
CA-2013-162733,OFF-PA-10002751,1,6
CA-2013-133144,OFF-PA-10004971,3,17
CA-2013-136994,OFF-PA-10000575,2,13
CA-2013-134803,OFF-PA-10003790,8,183
CA-2013-113243,OFF-PA-10003441,5,32
CA-2013-148593,OFF-PA-10001776,5,46
CA-2013-123512,OFF-PA-10001497,4,220
CA-2013-130029,OFF-PA-10000552,2,13
CA-2013-135265,OFF-PA-10002923,1,49
CA-2013-136021,OFF-PA-10000551,3,16
CA-2013-167241,OFF-PA-10004911,4,38
US-2013-101497,OFF-PA-10000176,1,19
CA-2013-155033,OFF-PA-10000143,2,11
US-2013-162026,OFF-PA-10000167,2,62
CA-2013-109365,OFF-PA-10004359,3,315
CA-2013-109365,OFF-PA-10001725,3,116
CA-2013-109365,OFF-PA-10000477,3,19
CA-2013-158694,OFF-PA-10002421,3,68
CA-2013-158694,OFF-PA-10001363,5,61
CA-2014-149076,OFF-PA-10000483,5,155
CA-2014-104647,OFF-PA-10002870,6,37
CA-2014-128965,OFF-PA-10004911,3,28
CA-2014-120222,OFF-PA-10004675,3,19
CA-2014-147844,OFF-PA-10003016,5,16
CA-2014-147844,OFF-PA-10002713,5,34
US-2014-152002,OFF-PA-10000357,3,123
CA-2014-112753,OFF-PA-10002036,6,39
US-2014-113201,OFF-PA-10000675,5,205
CA-2014-133718,OFF-PA-10002689,9,58
CA-2014-105326,OFF-PA-10001639,4,26
CA-2014-137498,OFF-PA-10000143,9,48
US-2014-109582,OFF-PA-10004071,3,166
CA-2014-121853,OFF-PA-10003641,8,211
US-2014-115595,OFF-PA-10001745,5,35
CA-2014-110842,OFF-PA-10000520,3,19
US-2014-125808,OFF-PA-10001846,2,12
CA-2014-118542,OFF-PA-10004735,7,45
CA-2014-102099,OFF-PA-10003172,2,13
CA-2014-102099,OFF-PA-10000289,5,32
CA-2011-164903,OFF-PA-10003363,2,13
CA-2011-102652,OFF-PA-10001977,1,55
CA-2011-102652,OFF-PA-10003309,3,19
CA-2011-113768,OFF-PA-10003063,2,8
CA-2011-146528,OFF-PA-10002195,1,6
CA-2011-104178,OFF-PA-10004983,4,26
CA-2011-106439,OFF-PA-10000477,13,65
CA-2011-168305,OFF-PA-10004947,5,21
CA-2011-140732,OFF-PA-10003625,4,124
CA-2012-163104,OFF-PA-10001947,2,12
US-2012-107944,OFF-PA-10000659,11,193
CA-2012-138219,OFF-PA-10000380,4,33
CA-2012-142601,OFF-PA-10000483,2,62
CA-2012-165554,OFF-PA-10003724,2,11
CA-2012-161242,OFF-PA-10001838,2,12
CA-2012-133025,OFF-PA-10004100,5,32
CA-2012-132815,OFF-PA-10004530,2,23
CA-2012-153220,OFF-PA-10003016,5,16
CA-2012-125234,OFF-PA-10000482,3,114
CA-2012-141593,OFF-PA-10004983,1,6
CA-2012-144890,OFF-PA-10001526,2,10
CA-2013-129238,OFF-PA-10002764,5,57
CA-2013-154067,OFF-PA-10002254,4,106
CA-2013-112942,OFF-PA-10004092,3,147
CA-2013-159016,OFF-PA-10004405,5,15
US-2013-159093,OFF-PA-10001260,4,32
CA-2013-147473,OFF-PA-10004782,6,39
US-2013-155971,OFF-PA-10000210,5,100
CA-2013-144015,OFF-PA-10002870,2,12
US-2013-126452,OFF-PA-10002606,9,48
US-2013-126452,OFF-PA-10003848,2,13
CA-2013-109806,OFF-PA-10000304,1,6
CA-2013-155187,OFF-PA-10000380,5,42
CA-2013-119018,OFF-PA-10000295,6,39
CA-2013-152646,OFF-PA-10004451,5,32
US-2013-103674,OFF-PA-10000743,2,13
CA-2013-145919,OFF-PA-10003072,6,39
US-2013-116729,OFF-PA-10002005,7,45
CA-2014-117212,OFF-PA-10001970,4,224
CA-2014-117212,OFF-PA-10000682,4,23
CA-2014-134635,OFF-PA-10002254,3,79
CA-2014-120614,OFF-PA-10004911,4,38
CA-2014-145772,OFF-PA-10001593,2,12
