Order_ID,Order_Date,Order_Priority,Customer_ID,Order_Status
CA-2011-130813,2011-01-07,High,LS-172304,in progress
CA-2011-148614,2011-01-21,Medium,MV-174854,shipped
CA-2011-118962,2011-08-05,Medium,CS-121304,in progress
CA-2011-146969,2011-09-29,High,AP-109154,shipped
CA-2011-117317,2011-10-19,Critical,JF-154904,shipped
CA-2011-125829,2011-11-04,Medium,WB-218504,pending
CA-2011-151295,2011-11-12,High,JA-159704,shipped
CA-2011-135090,2011-11-22,High,SP-209204,in progress
CA-2011-133830,2011-12-05,Medium,RL-196154,in progress
CA-2011-113579,2011-12-13,High,KD-163454,pending
CA-2012-116092,2012-02-15,Medium,JM-161954,pending
CA-2012-121776,2012-02-16,High,RD-195854,pending
CA-2012-131534,2012-03-28,Medium,AB-101654,in progress
US-2012-136987,2012-04-11,Medium,AR-105404,pending
CA-2012-121965,2012-06-19,Medium,LH-171554,pending
CA-2012-112319,2012-08-31,High,AR-105104,shipped
CA-2012-137708,2012-11-22,High,NG-184304,in progress
CA-2012-105347,2012-11-24,Medium,DP-130004,pending
CA-2012-153416,2012-11-24,Medium,TS-213404,pending
CA-2012-135545,2012-11-24,Medium,KM-167204,shipped
CA-2012-158918,2012-12-20,Medium,AI-108554,pending
CA-2012-135580,2012-12-30,Medium,CL-125654,shipped
US-2013-119270,2013-03-13,Medium,SW-202454,shipped
CA-2013-131380,2013-03-29,Critical,CC-122204,pending
CA-2013-130477,2013-04-09,High,LC-171404,shipped
CA-2013-163594,2013-04-13,Medium,JF-152954,shipped
US-2013-115819,2013-04-20,Medium,JO-152804,pending
CA-2013-111696,2013-05-09,High,TB-216254,in progress
CA-2013-162733,2013-05-12,Medium,TT-210704,in progress
CA-2013-133144,2013-05-17,Medium,DO-134354,pending
CA-2013-136994,2013-05-28,Medium,LS-172454,in progress
CA-2013-134803,2013-05-29,Low,CL-125654,in progress
CA-2013-113243,2013-06-11,Medium,OT-187304,pending
CA-2013-148593,2013-06-17,Medium,BD-113204,shipped
CA-2013-123512,2013-06-18,Critical,MV-181904,pending
CA-2013-130029,2013-07-04,High,GT-147554,shipped
CA-2013-135265,2013-07-08,Critical,CC-123704,in progress
CA-2013-136021,2013-08-15,High,JM-155804,in progress
CA-2013-167241,2013-08-16,Low,BD-113204,shipped
US-2013-101497,2013-09-30,High,PS-187604,pending
CA-2013-155033,2013-10-08,High,CC-124754,shipped
US-2013-162026,2013-10-09,Critical,JE-157454,shipped
CA-2013-109365,2013-11-04,Medium,XP-218654,in progress
CA-2013-158694,2013-11-11,High,AI-108554,in progress
CA-2014-149076,2014-01-15,Medium,SO-203354,in progress
CA-2014-104647,2014-02-24,Medium,CK-125954,pending
CA-2014-128965,2014-04-18,Medium,PS-187604,pending
CA-2014-120222,2014-04-26,Medium,LL-168404,pending
CA-2014-147844,2014-05-03,Medium,DD-135704,pending
US-2014-152002,2014-06-12,Medium,DV-134654,shipped
CA-2014-112753,2014-06-19,High,CC-126704,in progress
US-2014-113201,2014-07-01,Medium,TT-212204,pending
CA-2014-133718,2014-07-24,Critical,TB-215204,in progress
CA-2014-105326,2014-08-21,Medium,KT-164804,pending
CA-2014-137498,2014-09-10,Medium,LC-170504,shipped
US-2014-109582,2014-09-13,Medium,JM-158654,in progress
CA-2014-121853,2014-09-24,Medium,DB-136604,shipped
US-2014-115595,2014-10-10,Medium,XP-218654,in progress
CA-2014-110842,2014-11-12,Medium,GA-147254,pending
US-2014-125808,2014-11-13,High,EP-139154,shipped
CA-2014-118542,2014-12-02,Medium,CC-125504,pending
CA-2014-102099,2014-12-19,Medium,EP-139154,pending
CA-2011-164903,2011-02-21,High,SR-207404,in progress
CA-2011-102652,2011-04-06,Medium,AY-105554,shipped
CA-2011-113768,2011-05-13,Medium,AH-100304,in progress
CA-2011-146528,2011-07-25,High,VF-217154,in progress
CA-2011-104178,2011-08-25,High,JM-152654,shipped
CA-2011-106439,2011-10-31,High,GG-146504,in progress
CA-2011-168305,2011-11-01,Medium,PL-189254,pending
CA-2011-140732,2011-11-11,High,MA-175604,pending
CA-2012-163104,2012-03-19,Medium,MC-181304,in progress
US-2012-107944,2012-03-23,High,AM-103604,shipped
CA-2012-138219,2012-03-23,Medium,BP-110954,in progress
CA-2012-142601,2012-04-18,Medium,DE-132554,shipped
CA-2012-165554,2012-05-18,Medium,AJ-107804,pending
CA-2012-161242,2012-06-01,Medium,CG-120404,shipped
CA-2012-133025,2012-09-17,Critical,MO-178004,pending
CA-2012-132815,2012-09-19,High,RW-195404,pending
CA-2012-153220,2012-11-12,High,YC-218954,shipped
CA-2012-125234,2012-11-27,Medium,SN-207104,shipped
CA-2012-141593,2012-12-14,High,DB-129703,in progress
CA-2012-144890,2012-12-25,Medium,SM-203204,shipped
CA-2013-129238,2013-01-31,Medium,SC-200504,pending
CA-2013-154067,2013-02-01,Medium,SM-209504,in progress
CA-2013-112942,2013-02-13,Medium,RD-198104,in progress
CA-2013-159016,2013-03-11,High,KF-162854,shipped
US-2013-159093,2013-05-10,Medium,RS-194204,in progress
CA-2013-147473,2013-05-31,Medium,NL-183104,in progress
US-2013-155971,2013-06-07,Medium,RB-197954,shipped
CA-2013-144015,2013-06-27,Critical,AH-100754,in progress
US-2013-126452,2013-08-22,Low,SC-202304,in progress
CA-2013-109806,2013-09-18,Medium,JS-156854,in progress
CA-2013-155187,2013-09-25,Medium,LA-167804,pending
CA-2013-119018,2013-11-05,High,CW-119054,in progress
CA-2013-152646,2013-11-22,Medium,TH-212354,in progress
US-2013-103674,2013-12-07,Medium,AP-107204,pending
CA-2013-145919,2013-12-19,High,HG-149654,in progress
US-2013-116729,2013-12-26,Medium,GK-146204,in progress
CA-2014-117212,2014-02-27,Medium,BT-115304,in progress
CA-2014-134635,2014-04-16,Critical,NS-186404,in progress
CA-2014-120614,2014-05-31,Medium,SM-209504,shipped
CA-2014-145772,2014-06-04,High,SS-201404,in progress
CA-2014-113670,2014-10-16,Critical,RS-197654,in progress
CA-2014-109701,2014-12-03,High,AM-103604,shipped
CA-2014-153227,2014-12-05,High,CS-122504,shipped
CA-2014-161578,2014-12-17,High,RB-194654,shipped
CA-2011-153808,2011-04-06,High,FH-142754,shipped
CA-2011-110849,2011-04-18,High,JL-158354,in progress
CA-2011-116785,2011-04-26,High,MH-172904,shipped
US-2011-154879,2011-05-06,Medium,SN-207104,in progress
CA-2011-115812,2011-06-09,Medium,BH-117104,pending
CA-2011-114643,2011-06-13,High,FM-142154,in progress
CA-2011-109218,2011-06-30,Medium,AR-108254,in progress
CA-2011-122679,2011-07-22,Medium,AB-102554,shipped
CA-2011-153619,2011-11-03,Critical,TC-215354,shipped
CA-2011-105270,2011-11-11,Low,AP-109154,in progress
US-2011-144078,2011-11-25,Medium,RB-194354,in progress
CA-2011-138737,2011-12-07,Medium,FP-143204,shipped
CA-2011-156594,2011-12-20,High,MC-178454,shipped
CA-2012-151253,2012-04-22,High,AZ-107504,in progress
CA-2012-115945,2012-06-25,Medium,AB-101654,pending
CA-2012-153388,2012-08-01,Medium,PC-190004,in progress
CA-2012-167745,2012-09-18,Medium,GB-145304,shipped
CA-2012-144652,2012-11-20,Medium,SN-205604,in progress
CA-2012-115693,2012-12-10,Medium,FC-142454,pending
CA-2012-134117,2012-12-17,Critical,PG-188954,in progress
CA-2013-146437,2013-01-28,Medium,HG-149654,in progress
CA-2013-140256,2013-08-23,Low,PW-190304,pending
US-2013-100405,2013-08-27,Critical,TS-214304,in progress
CA-2013-126732,2013-09-03,Medium,LR-169154,pending
CA-2013-161746,2013-10-22,Medium,CS-119504,pending
US-2013-112970,2013-11-15,Critical,TB-212504,in progress
CA-2013-107104,2013-11-27,Medium,MS-173654,shipped
CA-2013-104689,2013-12-02,High,FH-143654,shipped
CA-2013-129868,2013-12-27,Medium,MC-181304,shipped
CA-2014-160934,2014-01-16,High,TT-214604,shipped
CA-2014-134838,2014-02-20,High,ED-138854,pending
CA-2014-110478,2014-03-05,Medium,SP-208604,shipped
CA-2014-143084,2014-03-19,Medium,BP-110504,shipped
US-2014-120117,2014-03-31,High,TB-214004,pending
CA-2014-168228,2014-04-28,High,AP-109154,shipped
CA-2014-154501,2014-05-01,Medium,EA-140354,in progress
US-2014-151127,2014-05-23,Medium,RL-196154,in progress
CA-2014-143343,2014-06-11,Medium,BW-112004,pending
CA-2014-135167,2014-06-16,Medium,SC-208004,shipped
CA-2014-138149,2014-06-30,High,WB-218504,pending
CA-2014-102974,2014-09-20,Medium,DP-131054,shipped
US-2014-141509,2014-09-30,Critical,SC-205754,in progress
CA-2014-112431,2014-10-13,High,RW-196904,in progress
CA-2014-100013,2014-11-07,Medium,ZC-219104,shipped
CA-2014-124261,2014-11-15,Medium,JE-157154,in progress
CA-2014-102407,2014-12-10,Medium,AT-104354,in progress
CA-2014-163405,2014-12-22,High,BN-115154,in progress
CA-2011-120838,2011-03-23,High,PO-188654,in progress
US-2011-120740,2011-04-15,Critical,PS-189704,in progress
CA-2011-169642,2011-07-27,Medium,BB-109904,pending
CA-2011-101931,2011-10-28,High,TS-213704,pending
CA-2011-127558,2011-11-15,Medium,SS-204104,shipped
CA-2011-119144,2011-11-16,Critical,JD-161504,in progress
US-2011-157385,2011-11-23,Critical,SC-200954,pending
CA-2011-150203,2011-12-05,High,JB-159254,pending
CA-2011-106726,2011-12-06,Critical,RS-197654,pending
CA-2011-162992,2011-12-19,Medium,BP-110954,in progress
CA-2011-120243,2011-12-27,High,AT-104354,pending
CA-2012-149972,2012-09-21,High,CD-127904,shipped
CA-2012-168760,2012-09-22,High,MM-182804,in progress
US-2012-119312,2012-10-02,Medium,CS-124004,shipped
CA-2012-152527,2012-10-17,Critical,CM-121904,shipped
CA-2012-118871,2012-12-04,Medium,HM-148604,pending
CA-2012-110870,2012-12-12,High,KD-162704,in progress
CA-2012-125423,2012-12-13,Medium,MC-175754,shipped
CA-2013-125206,2013-01-03,High,LR-169154,in progress
CA-2013-139010,2013-02-21,Medium,MC-176354,shipped
CA-2013-130638,2013-05-17,Medium,SC-200954,shipped
CA-2013-138688,2013-06-13,High,DV-130454,in progress
CA-2013-111115,2013-07-26,High,LB-167354,in progress
CA-2013-114972,2013-11-04,Critical,PF-192254,pending
CA-2013-161669,2013-11-08,High,EM-140954,in progress
US-2013-111528,2013-12-31,Medium,JP-161354,in progress
CA-2014-164707,2014-02-19,High,CV-128054,shipped
CA-2014-122007,2014-03-19,Medium,JK-153254,in progress
CA-2014-108539,2014-03-22,High,SC-207254,pending
CA-2014-132178,2014-05-04,Medium,DB-129703,shipped
CA-2014-140963,2014-06-11,High,MT-180704,shipped
CA-2014-141481,2014-06-12,High,ZD-219254,shipped
US-2014-143175,2014-08-04,Medium,GA-145154,pending
CA-2014-169327,2014-09-03,High,MH-172904,in progress
US-2014-157224,2014-09-15,Medium,JB-160004,shipped
CA-2014-165155,2014-09-22,Critical,BM-115754,pending
CA-2011-114125,2011-07-09,High,GH-144104,pending
CA-2011-110184,2011-07-12,High,BF-111704,in progress
US-2012-120502,2012-04-13,Low,BT-113954,in progress
CA-2012-115420,2012-04-25,Low,LS-169454,shipped
CA-2012-165162,2012-05-14,Low,HG-150254,in progress
CA-2012-149846,2012-05-22,High,SB-201854,in progress
CA-2012-132906,2012-09-10,High,CC-121454,in progress
CA-2012-100573,2012-09-25,Low,AM-107054,in progress
CA-2012-129532,2012-12-08,High,YS-218804,in progress
CA-2012-148376,2012-12-27,High,AG-109004,in progress
CA-2013-138282,2013-05-20,High,AH-106904,in progress
CA-2013-130162,2013-10-29,High,JH-159104,shipped
CA-2013-166226,2013-11-19,High,TC-215354,pending
CA-2014-145807,2014-02-10,High,SB-201704,in progress
CA-2014-129294,2014-03-17,High,KD-166154,in progress
US-2014-160143,2014-04-01,Low,HG-149654,shipped
CA-2014-164959,2014-07-12,High,KN-163904,in progress
CA-2014-141929,2014-09-05,High,RA-192854,pending
CA-2014-100825,2014-09-10,High,KD-164954,shipped
CA-2014-105914,2014-10-03,Low,PV-189854,pending
CA-2011-112291,2011-04-03,Medium,KE-164204,shipped
CA-2011-133704,2011-09-20,Medium,MA-179954,shipped
US-2011-167738,2011-12-24,Medium,JC-161054,shipped
US-2011-138247,2011-12-24,Medium,BF-111704,in progress
CA-2012-111234,2012-02-18,Medium,AB-106004,in progress
CA-2012-162369,2012-08-15,Medium,TT-212654,shipped
US-2012-139759,2012-08-25,Medium,NL-183104,in progress
CA-2012-121188,2012-08-28,Medium,CB-120254,shipped
CA-2012-103835,2012-09-24,Medium,SC-204404,shipped
CA-2012-129546,2012-09-28,Medium,RP-198554,in progress
CA-2012-160171,2012-10-19,Medium,RM-196754,in progress
CA-2012-149566,2012-12-05,Medium,GB-145304,shipped
CA-2012-158456,2012-12-24,Medium,KT-164654,in progress
CA-2013-101189,2013-02-04,Medium,JB-154004,shipped
US-2013-143280,2013-02-22,Medium,TZ-215804,pending
CA-2013-137729,2013-05-06,Medium,BF-110054,shipped
CA-2013-118913,2013-06-26,Medium,AS-102404,in progress
CA-2013-101343,2013-07-18,Medium,RA-198854,in progress
CA-2013-140046,2013-07-29,Medium,KM-166604,in progress
CA-2013-107328,2013-08-09,Medium,CA-120554,in progress
CA-2013-100944,2013-09-25,Medium,EH-137654,in progress
CA-2013-144218,2013-11-01,Medium,JD-158954,pending
CA-2013-145492,2013-11-21,Medium,MC-176054,pending
CA-2013-161025,2013-12-04,Medium,GM-144404,in progress
CA-2014-161333,2014-02-03,Medium,JL-158354,pending
CA-2014-140515,2014-03-20,Medium,GZ-145454,pending
CA-2014-139437,2014-07-04,Medium,RD-195854,shipped
CA-2014-106824,2014-07-08,Medium,AT-107354,shipped
CA-2014-162012,2014-07-12,Medium,KB-162404,shipped
CA-2014-117261,2014-09-05,Medium,TH-212354,in progress
US-2014-115609,2014-11-03,Medium,CS-125054,shipped
CA-2014-126242,2014-11-20,Medium,MC-181004,shipped
CA-2014-121398,2014-12-26,Medium,FH-143654,in progress
CA-2011-157147,2011-01-14,High,BD-116054,in progress
CA-2011-128237,2011-03-25,Medium,CA-122654,in progress
CA-2011-141838,2011-03-26,High,DK-128354,shipped
CA-2011-128055,2011-03-31,Medium,AA-103154,shipped
CA-2011-105172,2011-04-04,High,PK-189104,in progress
CA-2011-133851,2011-06-09,Low,CM-124454,in progress
CA-2011-113271,2011-07-09,Medium,DS-130304,shipped
CA-2011-116932,2011-07-21,Medium,ME-180104,pending
CA-2011-117464,2011-07-22,High,NP-183254,pending
CA-2011-145254,2011-07-23,High,NC-185354,shipped
CA-2011-143917,2011-07-25,High,KL-166454,shipped
CA-2011-150490,2011-08-05,Medium,SS-205904,in progress
US-2011-164406,2011-08-15,High,BD-116054,pending
CA-2011-143336,2011-08-27,High,ZD-219254,in progress
CA-2011-130449,2011-09-06,Medium,VP-217604,in progress
CA-2011-168592,2011-09-08,Medium,DP-133904,in progress
CA-2011-159849,2011-09-19,High,JK-156404,shipped
CA-2011-156433,2011-09-20,Medium,ES-140204,shipped
CA-2011-153969,2011-09-21,High,HF-149954,pending
CA-2011-123344,2011-09-24,Medium,JD-160604,pending
CA-2011-138240,2011-10-09,Medium,SJ-205004,pending
CA-2011-139451,2011-10-12,Medium,DN-136904,pending
CA-2011-155264,2011-10-19,Medium,RP-192704,in progress
CA-2011-115889,2011-11-02,High,SH-203954,pending
CA-2011-144666,2011-11-09,Critical,JP-155204,shipped
CA-2011-128622,2011-11-15,Critical,SC-202604,pending
CA-2011-140662,2011-11-17,High,TS-212054,shipped
CA-2011-105249,2011-11-28,Medium,DH-136754,in progress
CA-2011-159800,2011-11-28,High,SG-204704,in progress
CA-2011-153983,2011-11-29,Medium,AH-102104,pending
CA-2011-110786,2011-12-29,High,AJ-107954,shipped
CA-2012-158701,2012-01-05,Medium,JL-151754,in progress
CA-2012-155306,2012-04-17,High,GA-145154,shipped
CA-2012-103716,2012-04-30,Medium,KB-165854,in progress
CA-2012-104486,2012-05-01,High,PO-188504,pending
CA-2012-150770,2012-05-03,Critical,LC-168704,in progress
CA-2012-136735,2012-07-26,Low,HA-149204,pending
CA-2012-130456,2012-08-21,Medium,DS-131804,shipped
CA-2012-130204,2012-09-03,Low,DB-131204,shipped
CA-2012-167255,2012-09-27,High,RH-195104,pending
CA-2012-169201,2012-09-28,Critical,HG-149654,shipped
CA-2012-121391,2012-10-04,Critical,AA-103154,in progress
CA-2012-152891,2012-10-25,Medium,TB-216254,in progress
CA-2012-110289,2012-10-29,High,NB-186554,shipped
CA-2012-145485,2012-11-05,High,JM-161954,pending
CA-2012-164497,2012-11-28,Medium,AJ-109454,shipped
CA-2012-168634,2012-12-06,Medium,AF-108704,shipped
CA-2012-127502,2012-12-10,Medium,MT-178154,in progress
CA-2012-130113,2012-12-27,Medium,AH-100304,pending
CA-2013-153661,2013-01-30,Medium,SC-207254,in progress
CA-2013-120005,2013-03-04,High,TS-211604,shipped
CA-2013-127138,2013-03-13,Medium,DK-132254,pending
CA-2013-136301,2013-03-14,Critical,EH-137654,shipped
CA-2013-123358,2013-04-11,Medium,BT-116804,pending
CA-2013-152800,2013-04-14,High,SP-209204,in progress
CA-2013-122728,2013-05-19,Medium,EB-139304,pending
CA-2013-107216,2013-06-15,Medium,PV-189854,pending
CA-2013-140382,2013-06-24,High,RD-199004,pending
CA-2013-147137,2013-07-05,High,AA-106454,shipped
CA-2013-109953,2013-07-15,Medium,RB-193604,in progress
CA-2013-144855,2013-07-23,Critical,DL-134954,shipped
CA-2013-149335,2013-07-26,Critical,BC-111254,in progress
CA-2013-112585,2013-07-31,Medium,RW-196304,shipped
CA-2013-150343,2013-08-17,High,PK-190754,shipped
CA-2013-120859,2013-09-02,Medium,CV-128054,in progress
CA-2013-113096,2013-09-03,High,SZ-200354,in progress
US-2013-114888,2013-09-20,Medium,CC-124304,in progress
CA-2013-100244,2013-09-21,High,GM-146954,shipped
CA-2013-101385,2013-09-26,Medium,JW-160754,shipped
CA-2013-156811,2013-10-28,Medium,BP-110954,pending
CA-2013-105494,2013-11-11,High,PC-187454,pending
CA-2013-152940,2013-11-11,Medium,RO-197804,shipped
CA-2013-149482,2013-11-15,High,RR-193154,in progress
CA-2013-118500,2013-11-18,High,HJ-148754,pending
US-2013-108455,2013-12-03,Medium,MK-181604,shipped
CA-2013-115224,2013-12-09,High,DB-136154,shipped
CA-2013-131289,2013-12-09,Medium,SP-206204,pending
CA-2014-111738,2014-01-04,Medium,CM-123854,in progress
CA-2014-108000,2014-01-13,Medium,LS-169454,in progress
CA-2014-144589,2014-01-21,Medium,TM-210104,shipped
CA-2014-150469,2014-01-27,Medium,CJ-120104,in progress
CA-2014-139304,2014-01-30,High,VG-217904,in progress
CA-2014-164329,2014-01-31,Medium,MM-179204,shipped
CA-2014-112725,2014-01-31,Low,EH-141254,shipped
CA-2014-125101,2014-03-07,High,SH-199754,shipped
CA-2014-167640,2014-03-07,Medium,FC-142454,in progress
CA-2014-116288,2014-03-13,High,BS-113804,in progress
CA-2014-147942,2014-04-02,High,MS-173654,shipped
US-2014-138086,2014-04-17,High,JO-155504,in progress
CA-2014-137876,2014-05-01,High,DJ-135104,pending
CA-2014-163209,2014-05-04,Medium,MK-181604,in progress
US-2014-141943,2014-05-06,High,DK-129854,pending
US-2014-104451,2014-05-09,High,MM-180554,shipped
CA-2014-117632,2014-05-13,Medium,CS-121754,shipped
CA-2014-100748,2014-05-14,Medium,RB-197954,in progress
CA-2014-113530,2014-05-20,Medium,BC-111254,pending
CA-2014-130106,2014-05-23,High,VF-217154,pending
US-2014-131849,2014-06-07,High,GH-144104,shipped
CA-2014-159107,2014-06-25,Critical,KT-164804,in progress
CA-2014-130841,2014-07-29,High,MH-176204,in progress
CA-2014-161102,2014-08-01,High,EC-140504,shipped
CA-2014-168942,2014-08-02,Medium,EM-139604,shipped
CA-2014-168396,2014-08-04,Medium,BD-117254,pending
US-2014-103828,2014-08-14,High,JK-153704,shipped
CA-2014-169264,2014-08-15,High,NP-187004,in progress
CA-2014-119011,2014-08-21,High,LR-170354,in progress
CA-2014-132619,2014-09-01,Medium,MS-177704,pending
CA-2014-110380,2014-09-03,High,PF-192254,shipped
CA-2014-161823,2014-09-04,High,AG-103004,in progress
CA-2014-144484,2014-09-12,High,CB-120254,pending
US-2014-116652,2014-09-16,High,RD-194804,in progress
CA-2014-130715,2014-09-17,High,CY-127454,pending
CA-2014-106180,2014-09-19,Medium,SH-199754,shipped
CA-2014-123778,2014-09-24,Medium,BS-117554,shipped
CA-2014-130148,2014-09-25,Medium,NK-184904,pending
US-2014-106145,2014-09-27,Medium,RA-198854,in progress
CA-2014-106033,2014-10-16,High,FG-142604,in progress
CA-2014-131492,2014-10-20,Medium,HH-150104,pending
CA-2014-123491,2014-10-31,Medium,JK-152054,shipped
US-2014-153948,2014-11-07,Critical,FM-142904,shipped
CA-2014-105130,2014-11-22,High,PJ-188354,pending
CA-2014-123701,2014-11-25,Medium,PG-188204,pending
US-2014-133312,2014-11-26,Medium,BD-115004,in progress
CA-2014-101665,2014-11-26,Medium,TZ-215804,shipped
CA-2014-116715,2014-12-03,High,VW-217754,pending
CA-2014-117457,2014-12-09,Medium,KH-165104,in progress
CA-2014-117926,2014-12-09,High,AS-102254,shipped
CA-2014-108854,2014-12-09,Low,DM-133454,pending
CA-2014-122770,2014-12-14,Medium,EP-139154,in progress
CA-2014-158736,2014-12-19,Low,TT-214604,shipped
US-2014-123463,2014-12-24,Critical,GZ-144704,shipped
CA-2014-163979,2014-12-29,High,KH-166904,in progress
CA-2011-111857,2011-04-23,Medium,NM-184454,pending
CA-2011-157546,2011-07-20,High,RD-197204,in progress
CA-2011-135699,2011-08-29,Medium,HH-150104,shipped
CA-2011-103401,2011-11-21,Medium,GR-145604,pending
CA-2011-154781,2011-11-21,Medium,SC-206804,in progress
US-2011-147648,2011-11-26,Medium,LS-169754,shipped
CA-2011-154592,2011-12-07,Critical,EH-140054,in progress
CA-2011-104976,2011-12-09,Medium,CK-127604,shipped
US-2011-106334,2011-12-27,Medium,JF-154904,shipped
CA-2012-159380,2012-05-12,Medium,CS-125054,in progress
CA-2012-144267,2012-08-21,High,NZ-185654,pending
CA-2012-109736,2012-10-10,Medium,DJ-134204,shipped
CA-2013-106460,2013-02-19,Critical,GT-147104,pending
CA-2013-105760,2013-06-20,Medium,KC-162554,shipped
CA-2013-165820,2013-09-27,High,DW-135854,shipped
CA-2013-134775,2013-10-29,High,AS-102854,shipped
CA-2013-163384,2013-11-11,High,CC-124304,pending
CA-2013-112060,2013-12-05,Medium,KT-164654,pending
CA-2014-154102,2014-02-07,Medium,SN-205604,in progress
CA-2014-150987,2014-04-09,High,AH-101204,shipped
US-2014-136784,2014-05-01,Medium,AD-101804,shipped
CA-2014-162978,2014-05-05,Medium,LW-169904,in progress
CA-2014-105214,2014-06-17,Medium,TS-216104,pending
CA-2014-138870,2014-06-20,Medium,GA-145154,in progress
CA-2014-133074,2014-09-22,High,DB-136154,pending
CA-2014-167661,2014-10-06,High,MP-181754,pending
CA-2014-148320,2014-11-04,Medium,PG-188954,shipped
CA-2014-162250,2014-11-25,Medium,PR-188804,pending
CA-2014-101245,2014-11-28,Medium,LW-169904,in progress
CA-2014-142328,2014-12-08,Medium,TC-215354,pending
CA-2014-133431,2014-12-18,Medium,LC-171404,pending
US-2011-117163,2011-01-28,Medium,EJ-137204,shipped
CA-2011-139857,2011-02-03,Medium,CD-127904,pending
CA-2011-107181,2011-02-05,High,DB-132704,in progress
CA-2011-104780,2011-05-21,Medium,BT-115304,shipped
CA-2011-124429,2011-05-27,High,MH-177854,pending
CA-2011-141726,2011-07-20,Medium,CC-121454,pending
CA-2011-131450,2011-08-08,Medium,LR-169154,pending
CA-2011-110527,2011-08-09,Medium,ED-138854,pending
CA-2011-126480,2011-09-20,Medium,HG-149654,in progress
CA-2011-132451,2011-09-26,Critical,KF-162854,in progress
US-2011-133130,2011-09-27,High,TH-211004,in progress
CA-2011-158372,2011-11-10,Low,RD-199004,shipped
CA-2011-132913,2011-12-24,High,AS-100904,pending
CA-2011-106264,2011-12-26,Medium,CK-125954,in progress
US-2012-163279,2012-03-22,Medium,JD-161504,in progress
US-2012-103996,2012-03-29,High,RB-194354,pending
CA-2012-137302,2012-04-26,Medium,BW-111104,in progress
CA-2012-154200,2012-06-18,High,BG-117404,shipped
CA-2012-101707,2012-08-27,Medium,PF-191654,shipped
CA-2012-153794,2012-09-11,Medium,SB-202904,shipped
CA-2012-101154,2012-09-18,High,CM-121904,in progress
CA-2012-122371,2012-09-26,Medium,BS-118004,in progress
CA-2012-132486,2012-10-23,High,JF-153554,pending
