Product_ID,Product_Name,Category,Sub_Category,Unit_Price,Size
OFF-PA-10002005,Xerox 225,Office Supplies,Paper,6.333333333,108.1395522
OFF-PA-10002893,Wirebound Service Call Books,Office Supplies,Paper,9.5,80.56693235
OFF-PA-10000659,Adams Phone Message Book,Office Supplies,Paper,7,19.28386945
OFF-PA-10001144,Xerox 1913,Office Supplies,Paper,55.5,32.85474533
OFF-PA-10002105,Xerox 223,Office Supplies,Paper,6,149.9513513
OFF-PA-10004519,Spiral Phone Message Books with Labels by Adams,Office Supplies,Paper,4.333333333,5.908874097
OFF-PA-10000223,Xerox 2000,Office Supplies,Paper,6.333333333,135.9026954
OFF-PA-10001947,Xerox 1974,Office Supplies,Paper,6,42.19678074
OFF-PA-10002245,Xerox 1895,Office Supplies,Paper,6,85.42154657
OFF-PA-10001363,Xerox 1933,Office Supplies,Paper,12.25,116.9696817
OFF-PA-10001457,White GlueTop Scratch Pads,Office Supplies,Paper,15,18.19307451
OFF-PA-10004285,Xerox 1959,Office Supplies,Paper,6.5,131.2924169
OFF-PA-10000477,Xerox 22,Office Supplies,Paper,6.333333333,127.171004
OFF-PA-10001970,Xerox 1881,Office Supplies,Paper,12.33333333,133.2908032
OFF-PA-10000743,Xerox 1977,Office Supplies,Paper,6.6,93.95344656
OFF-PA-10003127,Staples,Office Supplies,Paper,26.5,133.443664
OFF-PA-10004355,Xerox 231,Office Supplies,Paper,6,133.2257478
OFF-PA-10003441,Xerox 226,Office Supplies,Paper,6.444444444,98.13489439
OFF-PA-10000176,Xerox 1887,Office Supplies,Paper,19,87.64052006
OFF-PA-10000327,Xerox 1971,Office Supplies,Paper,4.3,70.5386964
OFF-PA-10000675,Xerox 1919,Office Supplies,Paper,41,17.92998719
OFF-PA-10003892,Xerox 1943,Office Supplies,Paper,49,100.1958967
OFF-PA-10004947,Staples,Office Supplies,Paper,4.25,86.1580672
OFF-PA-10000595,Xerox 1929,Office Supplies,Paper,23,42.66586488
OFF-PA-10004022,Hammermill Color Copier Paper (28Lb. and 96 Bright),Office Supplies,Paper,10,113.0393397
OFF-PA-10001243,Xerox 1983,Office Supplies,Paper,6,30.11434422
OFF-PA-10002947,Xerox 1923,Office Supplies,Paper,6.666666667,51.99812646
OFF-PA-10000019,Xerox 1931,Office Supplies,Paper,6.5,95.97278323
OFF-PA-10000809,Xerox 206,Office Supplies,Paper,6.333333333,71.94744734
OFF-PA-10002377,Adams Telephone Message Book W/Dividers/Space For Phone Numbers,Office Supplies,Paper,5.75,146.0782669
OFF-PA-10002751,Xerox 1920,Office Supplies,Paper,6,41.75887767
OFF-PA-10004971,Xerox 196,Office Supplies,Paper,5.666666667,24.40632408
OFF-PA-10000575,Wirebound Message Books,Office Supplies,Paper,6.5,58.39721082
OFF-PA-10003790,Xerox 1991,Office Supplies,Paper,22.875,143.9051475
OFF-PA-10001776,Wirebound Message Books,Office Supplies,Paper,9.2,131.5235053
OFF-PA-10001497,Xerox 1914,Office Supplies,Paper,55,108.3250132
OFF-PA-10000552,Xerox 200,Office Supplies,Paper,6.5,32.57684268
OFF-PA-10002923,Xerox 1942,Office Supplies,Paper,49,99.63068032
OFF-PA-10000551,Array Memo Cubes,Office Supplies,Paper,5.333333333,69.19392881
OFF-PA-10004911,Rediform S.O.S. 1-Up Phone Message Bk,Office Supplies,Paper,9.5,20.65010546
OFF-PA-10000143,Astroparche Fine Business Paper,Office Supplies,Paper,5.5,84.11886102
OFF-PA-10000167,Xerox 1925,Office Supplies,Paper,31,62.53189117
OFF-PA-10004359,Multicolor Computer Printout Paper,Office Supplies,Paper,105,86.38024132
OFF-PA-10001725,Xerox 1892,Office Supplies,Paper,38.66666667,19.28020948
OFF-PA-10002421,Embossed Ink Jet Note Cards,Office Supplies,Paper,22.66666667,55.64578666
OFF-PA-10000483,Xerox 19,Office Supplies,Paper,31,106.9104446
OFF-PA-10002870,Ampad Phone Message Book,Office Supplies,Paper,6.166666667,54.67664949
OFF-PA-10004675,Telephone Message Books with Fax/Mobile Section,Office Supplies,Paper,6.333333333,19.16120504
OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",Office Supplies,Paper,3.2,148.3324372
OFF-PA-10002713,Adams Phone Message Book,Office Supplies,Paper,6.8,139.4825503
OFF-PA-10000357,White Dual Perf Computer Printout Paper,Office Supplies,Paper,41,103.7514038
OFF-PA-10002036,Xerox 1930,Office Supplies,Paper,6.5,34.08574794
OFF-PA-10002689,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),Office Supplies,Paper,6.444444444,99.52152819
OFF-PA-10001639,Xerox 203,Office Supplies,Paper,6.5,68.04263112
OFF-PA-10004071,Eaton Premium Continuous-Feed Paper,Office Supplies,Paper,55.33333333,107.7728507
OFF-PA-10003641,Xerox 1909,Office Supplies,Paper,26.375,63.52604697
OFF-PA-10001745,Wirebound Message Books,Office Supplies,Paper,7,26.98514917
OFF-PA-10000520,Xerox 201,Office Supplies,Paper,6.333333333,10.91073153
OFF-PA-10001846,Xerox 1899,Office Supplies,Paper,6,46.21096407
OFF-PA-10004735,Xerox 1905,Office Supplies,Paper,6.428571429,37.69838191
OFF-PA-10003172,Xerox 1996,Office Supplies,Paper,6.5,32.55051673
OFF-PA-10000289,Xerox 213,Office Supplies,Paper,6.4,110.988617
OFF-PA-10003363,Xerox 204,Office Supplies,Paper,6.5,17.39189825
OFF-PA-10001977,Xerox 194,Office Supplies,Paper,55,2.369391959
OFF-PA-10003309,Xerox 211,Office Supplies,Paper,6.333333333,9.956017682
OFF-PA-10003063,EcoTones Memo Sheets,Office Supplies,Paper,4,83.31587594
OFF-PA-10002195,Xerox 1966,Office Supplies,Paper,6,39.43310701
OFF-PA-10004983,Xerox 23,Office Supplies,Paper,6.5,36.33204574
OFF-PA-10003625,Xerox 1979,Office Supplies,Paper,31,17.33010483
OFF-PA-10000380,REDIFORM Incoming/Outgoing Call Register,Office Supplies,Paper,8.25,143.046432
OFF-PA-10003724,Wirebound Message Book,Office Supplies,Paper,5.5,35.40315349
OFF-PA-10001838,Adams Telephone Message Book W/Dividers/Space For Phone Numbers,Office Supplies,Paper,6,2.28187521
OFF-PA-10004100,Xerox 216,Office Supplies,Paper,6.4,4.175789654
OFF-PA-10004530,Personal Creations Ink Jet Cards and Labels,Office Supplies,Paper,11.5,116.4479995
OFF-PA-10000482,Snap-A-Way Black Print Carbonless Ruled Speed Letter,Office Supplies,Paper,38,92.37254654
OFF-PA-10001526,Xerox 1949,Office Supplies,Paper,5,137.6485309
OFF-PA-10002764,Staples,Office Supplies,Paper,11.4,6.293523654
OFF-PA-10002254,Xerox 1883,Office Supplies,Paper,26.5,139.7695835
OFF-PA-10004092,Tops Green Bar Computer Printout Paper,Office Supplies,Paper,49,111.5602152
OFF-PA-10004405,Rediform Voice Mail Log Books,Office Supplies,Paper,3,103.7468255
OFF-PA-10001260,TOPS Money Receipt Book,Office Supplies,Paper,8,69.26844767
OFF-PA-10004782,Xerox 228,Office Supplies,Paper,6.5,112.5937634
OFF-PA-10000210,Xerox Blank Computer Paper,Office Supplies,Paper,20,10.7583899
